x1,x2,x3,x4,y
15,4,1.1280926753474405,1.4203588164146426,1.0
15,4,-0.7371784591954599,-1.8652711345429003,1.0
15,4,-1.1177083517260276,-0.3805298925305677,1.0
15,4,-0.6658571967105547,0.4518511550154729,1.0
15,4,-1.3983345496144712,-0.7324773529039166,1.0
15,4,1.1455517863381461,2.5438863359526174,1.0
15,4,1.202144076163638,0.056592289825491804,1.0
16,4,0.8970222652907777,-0.3051218108728603,0.0
16,4,1.005244865955479,0.10822260066470124,0.0
16,4,1.334417834743635,0.32917296878815616,0.0
16,4,1.434371835412652,0.09995400066901694,0.0
16,4,1.330076336454278,-0.10429549895837398,1.0
16,4,-0.27599128330371786,-1.606067619757996,1.0
16,4,-0.6418773202672118,-0.3658860369634939,1.0
16,4,-0.6618466473127408,-0.019969327045529006,1.0
16,4,0.18166544867561393,0.8435120959883547,1.0
16,4,2.026410163185065,1.8447447145094509,0.0
16,4,0.7699544097258502,-1.2564557534592147,0.0
16,4,0.6582972434670609,-0.1116571662587893,1.0
16,4,1.010392846533301,0.3520956030662401,1.0
16,4,0.8070651342740585,-0.2033277122592425,1.0
16,4,0.725915736582988,-0.08114939769107044,1.0
16,4,-0.10220389490154294,-0.8281196314845309,1.0
16,4,1.1646085607678494,1.2668124556693923,0.0
16,4,1.8653174568804223,0.7007088961125729,0.0
16,4,0.4529530108497983,-1.412364446030624,0.0
16,4,0.920256839548171,0.46730382869837267,0.0
16,4,-0.1388529679981381,-1.059109807546309,0.0
16,4,-0.13641986364229142,0.002433104355846677,0.0
16,4,-0.2514635519376479,-0.1150436882953565,0.0
16,4,-0.7117841272171166,-0.4603205752794687,0.0
16,4,-1.277840904484767,-0.5660567772676504,1.0
16,4,-0.8689370924656764,0.40890381201909054,0.0
16,4,-0.4174487059390121,0.4514883865266643,0.0
16,4,-0.9323246436580699,-0.5148759377190577,0.0
16,4,-1.5850619494769123,-0.6527373058188424,0.0
16,4,-1.4970845453571564,0.08797740411975585,0.0
16,4,-2.532295376960581,-1.0352108316034245,1.0
16,4,-2.0876118531272687,0.4446835238333122,1.0
16,4,-1.0765946652207612,1.0110171879065075,0.0
16,4,-1.7250946769597613,-0.6485000117390001,1.0
16,4,-1.1071470449624874,0.6179476319972739,1.0
16,4,-0.6348368930870786,0.4723101518754088,0.0
16,4,-1.237859414551079,-0.6030225214640005,1.0
16,4,-0.9065492605121667,0.3313101540389124,0.0
16,4,-0.7856456794545664,0.12090358105760024,0.0
16,4,-0.33114712994803663,0.4544985495065298,0.0
